author,book_id,book_title
Marilynne Robinson,68210,"Gilead (Gilead, #1)"
Isaac Asimov,29579,Foundation (Foundation #1)
Kristin Hannah,21853621,The Nightingale
J.R.R. Tolkien,7332,The Silmarillion (Middle-Earth Universe)
Ann Patchett,9118135,State of Wonder
Philip Pullman,18122,"The Amber Spyglass (His Dark Materials, #3)"
Stephen King,10592,Carrie
Salman Rushdie,14836,Midnight's Children
Lev Grossman,6101718,The Magicians (The Magicians #1)
Neil Gaiman,2744,Anansi Boys
Douglas Adams,8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)"
Cormac McCarthy,394535,"Blood Meridian, or the Evening Redness in the West"
Stephenie Meyer,1656001,"The Host (The Host, #1)"
Bernhard Schlink,101299,The Reader
Mark Z. Danielewski,24800,House of Leaves
Toni Morrison,11337,The Bluest Eye
Jasper Fforde,27003,"The Eyre Affair (Thursday Next, #1)"
Hilary Mantel,6101138,"Wolf Hall (Thomas Cromwell, #1)"
Alan Moore,472331,Watchmen
Fannie Flagg,9375,Fried Green Tomatoes at the Whistle Stop Cafe
Jonas Jonasson,13486632,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared
Isabel Allende,9328,The House of the Spirits
David Nicholls,6280118,One Day
Kate Chopin,58345,The Awakening
Neal Stephenson,830,Snow Crash
Philip K. Dick,216363,The Man in the High Castle
Alexander McCall Smith,7061,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)"
Barbara Kingsolver,30868,"The Bean Trees (Greer Family, #1)"
Rainbow Rowell,16068905,Fangirl
Cassandra Clare,256683,"City of Bones (The Mortal Instruments, #1)"
Nicole Krauss,3867,The History of Love
Aravind Adiga,1768603,The White Tiger
Michael Cunningham,11899,The Hours
David Guterson,77142,Snow Falling on Cedars
Laurie Halse Anderson,439288,Speak
Terry Pratchett,34497,"The Color of Magic (Discworld, #1; Rincewind #1)"
Thomas Harris,23807,"The Silence of the Lambs  (Hannibal Lecter, #2)"
Colson Whitehead,30555488,The Underground Railroad
Charles Frazier,10920,Cold Mountain
Annie Proulx,7354,The Shipping News
Christina Baker Kline,15818107,Orphan Train
Jeffrey Eugenides,10964693,The Marriage Plot
Philippa Gregory,37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
Robert A. Heinlein,350,Stranger in a Strange Land
R.J. Palacio,11387515,Wonder
Tom Clancy,19691,"The Hunt for Red October (Jack Ryan Universe, #4)"
Sherman Alexie,693208,The Absolutely True Diary of a Part-Time Indian
J.K. Rowling,3950967,The Tales of Beedle the Bard
Kate Morton,3407877,The Forgotten Garden
Robert Ludlum,7869,"The Bourne Identity (Jason Bourne, #1)"
Stephen King,10614,Misery
Gillian Flynn,19288043,Gone Girl
Tana French,237209,"In the Woods (Dublin Murder Squad, #1)"
Janet Evanovich,6853,"One for the Money (Stephanie Plum, #1)"
Agatha Christie,16343,"The Mysterious Affair at Styles (Hercule Poirot, #1)"
Robert Galbraith,18214414,"The Silkworm (Cormoran Strike, #2)"
Agatha Christie,16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)"
Agatha Christie,16331,"Murder at the Vicarage (Miss Marple, #1)"
Agatha Christie,131359,"Death on the Nile (Hercule Poirot, #17)"
Laurie R. King,91661,"The Beekeeper's Apprentice (Mary Russell, #1)"
Janet Evanovich,6427,"Two for the Dough (Stephanie Plum, #2)"
Ellen Raskin,902,The Westing Game
Sue Grafton,64863,"A is for Alibi (Kinsey Millhone, #1)"
Agatha Christie,16322,"The A.B.C. Murders (Hercule Poirot, #13)"
Robert Galbraith,25735012,"Career of Evil (Cormoran Strike, #3)"
Elizabeth Peters,188230,Crocodile on the Sandbank (Amelia Peabody #1)
Jacqueline Winspear,462033,"Maisie Dobbs (Maisie Dobbs, #1)"
Janet Evanovich,6854,"Three to Get Deadly (Stephanie Plum, #3)"
Arthur Conan Doyle,188572,The Complete Sherlock Holmes
Janet Evanovich,6422,"Four to Score (Stephanie Plum, #4)"
Agatha Christie,16319,"The Body in the Library (Miss Marple, #3)"
E. Lockhart,16143347,We Were Liars
J.D. Robb,479309,"Naked in Death (In Death, #1)"
Janet Evanovich,6423,"High Five (Stephanie Plum, #5)"
Janet Evanovich,6858,"Hot Six (Stephanie Plum, #6)"
Jim Butcher,47212,"Storm Front (The Dresden Files, #1)"
P.D. James,12875355,Death Comes to Pemberley
Janet Evanovich,6424,"Seven Up (Stephanie Plum, #7)"
Dashiell Hammett,29999,The Maltese Falcon
Janet Evanovich,6425,"Hard Eight (Stephanie Plum, #8)"
Alan Bradley,8517008,"A Red Herring Without Mustard (Flavia de Luce, #3)"
Janet Evanovich,40331,"To the Nines (Stephanie Plum, #9)"
Kathy Reichs,231604,"Déjà Dead (Temperance Brennan, #1)"
Tana French,7093952,"Faithful Place (Dublin Murder Squad, #3)"
Caleb Carr,40024,"The Alienist (Dr. Laszlo Kreizler, #1)"
Louise Penny,352921,"A Fatal Grace (Chief Inspector Armand Gamache, #2)"
James Patterson,13137,"1st to Die (Women's Murder Club, #1)"
Carolyn Keene,32979,"The Secret of the Old Clock (Nancy Drew, #1)"
Janet Evanovich,86663,"Ten Big Ones (Stephanie Plum, #10)"
Janet Evanovich,11003,"Eleven on Top (Stephanie Plum, #11)"
S.J. Watson,9736930,Before I Go to Sleep
Agatha Christie,16298,"A Murder Is Announced (Miss Marple, #5)"
Janet Evanovich,3507,"Twelve Sharp (Stephanie Plum, #12)"
Patricia Cornwell,6534,"Postmortem (Kay Scarpetta, #1)"
Charlaine Harris,301082,"Dead Until Dark (Sookie Stackhouse, #1)"
Ruth Ware,2818723010,The Woman in Cabin 10
Janet Evanovich,40317,"Lean Mean Thirteen (Stephanie Plum, #13)"
Agatha Christie,140278,"4:50 from Paddington (Miss Marple, #8)"
Alan Bradley,11277218,"I Am Half-Sick of Shadows (Flavia de Luce, #4)"
Liane Moriarty,19486412,Big Little Lies
Kate Atkinson,16243,Case Histories (Jackson Brodie #1)
James Patterson,13145,"Along Came a Spider (Alex Cross, #1)"
Dennis Lehane,21686,Shutter Island
Janet Evanovich,2292384,"Fearless Fourteen (Stephanie Plum, #14)"
Agatha Christie,639787,"The Murder on the Links (Hercule Poirot, #2)"
Tana French,10805160,"Broken Harbour (Dublin Murder Squad, #4)"
Janet Evanovich,6048530,"Finger Lickin' Fifteen (Stephanie Plum, #15)"
Alan Bradley,13642963,"Speaking from Among the Bones (Flavia de Luce, #5)"
Sue Grafton,64865,"B is for Burglar  (Kinsey Millhone, #2)"
Tana French,1914973,"The Likeness (Dublin Murder Squad, #2)"
Louise Penny,2277378,"The Cruelest Month (Chief Inspector Armand Gamache, #3)"
Agatha Christie,16424,"Peril at End House (Hercule Poirot, #8)"
Lee Child,78129,"Killing Floor (Jack Reacher, #1)"
Rhys Bowen,383514,"Her Royal Spyness (Her Royal Spyness Mysteries, #1)"
Marisha Pessl,18770398,Night Film
Alan Bradley,17834904,"The Dead in Their Vaulted Arches (Flavia de Luce, #6)"
Agatha Christie,16372,"The Mirror Crack'd from Side to Side (Miss Marple, #9)"
Tana French,20821043,"The Secret Place (Dublin Murder Squad, #5)"
Agatha Christie,16363,"Appointment with Death (Hercule Poirot, #19)"
Agatha Christie,16360,"Murder in Mesopotamia (Hercule Poirot, #14)"
Sue Grafton,89656,"C is for Corpse  (Kinsey Millhone, #3)"
Agatha Christie,16335,"The Mystery of the Blue Train (Hercule Poirot, #6)"
Janet Evanovich,11732634,"Smokin' Seventeen (Stephanie Plum, #17)"
Agatha Christie,16307,"Hallowe'en Party (Hercule Poirot, #36)"
Deanna Raybourn,267869,"Silent in the Grave (Lady Julia Grey, #1)"
Agatha Christie,16341,"The Moving Finger (Miss Marple, #4)"
Janet Evanovich,7023554,"Sizzling Sixteen (Stephanie Plum, #16)"
Louise Penny,4201106,"A Rule Against Murder (Chief Inspector Armand Gamache, #4)"
J.D. Robb,268601,"Glory in Death (In Death, #2)"
Charlaine Harris,58077,"Grave Sight (Harper Connelly, #1)"
Agatha Christie,81903,"Curtain (Hercule Poirot, #39)"
Agatha Christie,834378,"A Pocket Full of Rye (Miss Marple, #7)"
Agatha Christie,16342,"Cat Among the Pigeons (Hercule Poirot, #32)"
Josephine Tey,77661,"The Daughter of Time (Inspector Alan Grant, #5)"
Michael Connelly,32508,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)"
Louise Penny,16045144,"The Beautiful Mystery (Chief Inspector Armand Gamache, #8)"
